,,,time(s),Vout,Vin
Record Length,2.50E+03,,-0.0137,-0.12,-0.4
Sample Interval,1.00E-05,,-0.01369,-0.12,-0.24
Trigger Point,1.37E+03,,-0.01368,-0.12,-0.08
,,,-0.01367,-0.16,0
,,,-0.01366,-0.12,0.12
,,,-0.01365,-0.12,0.28
Source,CH2,,-0.01364,-0.12,0.44
Vertical Units,V,,-0.01363,-0.12,0.56
Vertical Scale,1.00E+00,,-0.01362,-0.08,0.68
Vertical Offset,-9.60E-01,,-0.01361,-0.08,0.76
Horizontal Units,s,,-0.0136,-0.08,0.88
Horizontal Scale,2.50E-03,,-0.01359,-0.04,0.96
Pt Fmt,Y,,-0.01358,0,1.04
Yzero,0.00E+00,,-0.01357,0.04,1.08
Probe Atten,1.00E+01,,-0.01356,0.04,1.12
Model Number,TBS1072B-EDU,,-0.01355,0.08,1.16
Serial Number,C032671,,-0.01354,0.08,1.16
Firmware Version,FV:v4.06,,-0.01353,0.12,1.12
,,,-0.01352,0.12,1.08
,,,-0.01351,0.16,1.08
,,,-0.0135,0.16,1
,,,-0.01349,0.2,0.96
,,,-0.01348,0.2,0.84
,,,-0.01347,0.2,0.72
,,,-0.01346,0.2,0.6
,,,-0.01345,0.24,0.52
,,,-0.01344,0.24,0.36
,,,-0.01343,0.24,0.24
,,,-0.01342,0.28,0.12
,,,-0.01341,0.24,-0.04
,,,-0.0134,0.28,-0.16
,,,-0.01339,0.2,-0.28
,,,-0.01338,0.2,-0.44
,,,-0.01337,0.2,-0.52
,,,-0.01336,0.16,-0.64
,,,-0.01335,0.12,-0.72
,,,-0.01334,0.12,-0.8
,,,-0.01333,0.12,-0.88
,,,-0.01332,0.08,-0.92
,,,-0.01331,0.08,-0.96
,,,-0.0133,0,-1
,,,-0.01329,0.04,-1
,,,-0.01328,0,-0.96
,,,-0.01327,0,-0.92
,,,-0.01326,-0.08,-0.88
,,,-0.01325,-0.08,-0.84
,,,-0.01324,-0.08,-0.72
,,,-0.01323,-0.08,-0.64
,,,-0.01322,-0.12,-0.52
,,,-0.01321,-0.12,-0.44
,,,-0.0132,-0.16,-0.28
,,,-0.01319,-0.12,-0.16
,,,-0.01318,-0.12,-0.04
,,,-0.01317,-0.16,0.12
,,,-0.01316,-0.12,0.24
,,,-0.01315,-0.12,0.36
,,,-0.01314,-0.12,0.52
,,,-0.01313,-0.08,0.64
,,,-0.01312,-0.04,0.76
,,,-0.01311,-0.04,0.88
,,,-0.0131,0,1
,,,-0.01309,0,1.04
,,,-0.01308,0.04,1.12
,,,-0.01307,0.04,1.2
,,,-0.01306,0.08,1.24
,,,-0.01305,0.08,1.28
,,,-0.01304,0.12,1.28
,,,-0.01303,0.16,1.24
,,,-0.01302,0.16,1.24
,,,-0.01301,0.2,1.2
,,,-0.013,0.24,1.12
,,,-0.01299,0.24,1.08
,,,-0.01298,0.24,0.96
,,,-0.01297,0.24,0.88
,,,-0.01296,0.28,0.76
,,,-0.01295,0.32,0.64
,,,-0.01294,0.32,0.52
,,,-0.01293,0.28,0.36
,,,-0.01292,0.32,0.28
,,,-0.01291,0.32,0.12
,,,-0.0129,0.32,-0.04
,,,-0.01289,0.28,-0.12
,,,-0.01288,0.28,-0.28
,,,-0.01287,0.24,-0.36
,,,-0.01286,0.24,-0.48
,,,-0.01285,0.24,-0.56
,,,-0.01284,0.2,-0.68
,,,-0.01283,0.2,-0.72
,,,-0.01282,0.16,-0.76
,,,-0.01281,0.16,-0.8
,,,-0.0128,0.12,-0.84
,,,-0.01279,0.08,-0.84
,,,-0.01278,0.08,-0.8
,,,-0.01277,0.04,-0.76
,,,-0.01276,0.04,-0.72
,,,-0.01275,0,-0.68
,,,-0.01274,0,-0.56
,,,-0.01273,0,-0.48
,,,-0.01272,-0.04,-0.36
,,,-0.01271,0,-0.24
,,,-0.0127,-0.04,-0.12
,,,-0.01269,0,0
,,,-0.01268,0,0.16
,,,-0.01267,0,0.28
,,,-0.01266,0,0.44
,,,-0.01265,0,0.6
,,,-0.01264,0.04,0.72
,,,-0.01263,0.04,0.84
